Generation,evals,avg,std,min,max,best_one,fitness_best_one
68,3226,[  7.        386.2417098],[0.         0.41668167],[  7.         385.05824663],[  7.         386.78125169],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
69,3182,[  7.         385.91305909],[0.        0.0394761],[  7.         385.05824663],[  7.         385.91629427],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
70,3246,[  7.         385.90823536],[0.         0.06429611],[  7.         385.05824663],[  7.         385.91629427],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
71,3216,[  7.         385.89868786],[0.         0.09351389],[  7.         385.05824663],[  7.         385.91629427],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
72,3178,[  7.         385.87815068],[0.         0.13439853],[  7.         385.05824663],[  7.         385.91629427],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
73,3188,[  7.         385.83413254],[0.         0.18849932],[  7.         385.05824663],[  7.         385.91629427],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
74,3180,[  7.         385.74449365],[0.         0.25071283],[  7.         385.05824663],[  7.         385.91629427],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
75,3272,[  7.         385.62222131],[0.         0.31970037],[  7.         385.05824663],[  7.         385.82932297],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
76,3214,[  7.         385.39868038],[0.         0.34155313],[  7.         385.05824663],[  7.         385.82932297],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
77,3196,[  7.         385.12477967],[0.         0.03687573],[  7.         385.05824663],[  7.         385.14521793],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
78,3100,[  7.         385.10325428],[0.         0.04345901],[  7.         385.05824663],[  7.         385.14521793],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
79,3166,[  7.         385.06426939],[0.         0.02208017],[  7.         385.05824663],[  7.         385.14521793],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
80,3226,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
81,3204,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
82,3178,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
83,3174,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
84,3214,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
85,3192,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
86,3210,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
87,3190,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
88,3220,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
89,3252,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
90,3212,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
91,3218,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
92,3152,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
93,3176,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
94,3272,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
95,3116,[  7.         385.05824663],[0.00000000e+00 1.29602995e-11],[  7.         385.05824663],[  7.         385.05824663],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
